GAME_DATE,MATCHUP,opponent,Player_ID,Game_ID,is_home,rest_days,pts_avg_5,pts_avg_10,min_avg_5,min_avg_10,fga_avg_5,fta_avg_5,usage_avg_5,pts_allowed_avg_10,pts_allowed_avg_10.1,pace_proxy_avg_10,star_pts_allowed_avg_10,label_pts,player_name
2024-12-03,MIL @ DET,DET,203507,22400052,0,3.0,34.4,34.3,35.0,35.6,21.8,11.8,31.591999999999995,113.0,113.0,224.5,111.5,28,giannis_antetokounmpo
2024-12-03,NYK vs. ORL,ORL,1628973,22400053,1,2.0,26.0,26.5,34.8,34.3,16.6,7.0,21.880000000000003,99.2,99.2,206.7,107.5,21,jalen_brunson
2024-12-03,OKC vs. UTA,UTA,1628983,22400055,1,2.0,33.6,33.8,37.2,36.6,22.8,10.8,30.752,116.7,116.7,227.7,111.0,26,shai_gilgeous-alexander
2024-12-03,GSW @ DEN,DEN,201939,22400058,0,3.0,21.4,23.1,31.2,31.0,15.4,3.6,19.984,115.7,115.7,232.9,117.2,24,stephen_curry
2024-12-04,MIN @ LAC,LAC,1630162,22400324,0,2.0,23.0,25.1,36.4,37.6,20.2,5.8,25.552,102.6,102.6,213.7,111.1,16,anthony_edwards
2024-12-04,DET @ BOS,BOS,1630595,22400319,0,1.0,24.2,24.0,34.0,35.9,18.6,5.8,25.152,109.9,109.9,229.8,119.9,27,cade_cunningham
2024-12-04,MIL vs. ATL,ATL,203507,22400323,1,1.0,36.0,34.7,33.4,35.2,20.6,12.8,30.43200000000001,116.5,116.5,233.4,116.9,31,giannis_antetokounmpo
2024-12-04,LAL @ MIA,MIA,2544,22400321,0,2.0,16.6,19.4,33.8,35.0,18.2,2.2,23.968,109.8,109.8,220.9,111.1,29,lebron_james
2024-12-05,NYK vs. CHA,CHA,1628973,22400327,1,2.0,25.6,26.2,32.8,33.6,15.8,6.8,21.192,111.3,111.3,218.3,107.0,24,jalen_brunson
2024-12-05,OKC @ TOR,TOR,1628983,22400328,0,2.0,33.2,31.9,35.4,35.7,22.8,8.4,29.296,111.4,111.4,225.1,113.7,30,shai_gilgeous-alexander
2024-12-06,MIN @ GSW,GSW,1630162,22400338,0,2.0,20.6,24.1,33.8,36.5,18.8,5.4,23.776,108.7,108.7,217.5,108.8,30,anthony_edwards
2024-12-06,MIL @ BOS,BOS,203507,22400335,0,2.0,34.0,33.5,33.6,34.9,18.6,15.2,30.088,110.2,110.2,231.5,121.3,30,giannis_antetokounmpo
2024-12-06,LAL @ ATL,ATL,2544,22400334,0,2.0,18.8,20.8,32.6,34.1,18.6,2.6,24.544000000000004,115.2,115.2,231.1,115.9,39,lebron_james
2024-12-06,GSW vs. MIN,MIN,201939,22400338,1,3.0,21.6,24.3,32.0,32.0,18.0,3.4,22.496,105.0,105.0,213.3,108.3,23,stephen_curry
